title,image_link,platform1,platform2,platform3,platform4,platform5,platform6
The Bard's Tale IV: Barrows Deep,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/The_Bard%27s_Tale_IV_logo_2017.png/220px-The_Bard%27s_Tale_IV_logo_2017.png,PS4,na,na,na,na,na
Bastion,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Bastion_Boxart.jpg/220px-Bastion_Boxart.jpg,PS4\,Switch\,Xbox360\,XboxOne,na,na
Basement Crawl,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Basement_Crawl_Box_Art.jpg/220px-Basement_Crawl_Box_Art.jpg,PS4,na,na,na,na,na
Batman: Arkham Knight,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Batman_Arkham_Knight_Cover_Art.jpg/220px-Batman_Arkham_Knight_Cover_Art.jpg,PS4\,XboxOne,na,na,na,na
Batman: Return to Arkham,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Batman_Arkham_series_logo.png/250px-Batman_Arkham_series_logo.png,PS4\,XboxOne,na,na,na,na
Batman: The Telltale Series,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Batman_%28Telltale_Games%29_logo.png/220px-Batman_%28Telltale_Games%29_logo.png,PS4\,PS3\,Switch\,Xbox360\,Xbox360\,XboxOne
Batman: The Enemy Within,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/BatmanTheEnemyWithin.jpg/220px-BatmanTheEnemyWithin.jpg,PS4\,Switch\,XboxOne,na,na,na
Battalion 1944,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Battalion_1944_pre-release_Steam_header.jpg/220px-Battalion_1944_pre-release_Steam_header.jpg,PS4\,XboxOne,na,na,na,na
Battlefield 1,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Battlefield_1_cover_art.jpg/220px-Battlefield_1_cover_art.jpg,PS4\,XboxOne,na,na,na,na
Battlefield 4,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Battlefield_4_cover_art.jpg/220px-Battlefield_4_cover_art.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na
Battlefield V,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Battlefield_V_standard_edition_box_art.jpg/220px-Battlefield_V_standard_edition_box_art.jpg,PS4\,XboxOne,na,na,na,na
Battlefield Hardline,https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/Battlefield_Hardline.jpg/220px-Battlefield_Hardline.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na
Battle Garegga Rev.2016,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Battle_Garegga_arcade_flyer.jpg/220px-Battle_Garegga_arcade_flyer.jpg,PS4\,XboxOne,na,na,na,na
Battleship,unreleased,PS4\,PS3\,Xbox360\,XboxOne,na,na
Battlestar Galactica: Deadlock,unreleased,PS4\,XboxOne,na,na,na,na
Battle Worlds: Kronos,unreleased,PS4\,XboxOne,na,na,na,na
Bears Can't Drift!?,unreleased,PS4,na,na,na,na,na
Beast Quest,unreleased,PS4\,XboxOne,na,na,na,na
Beat the Game,unreleased,PS4\,XboxOne,na,na,na,na
Bendy and the Ink Machine,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Bendy_and_the_Ink_Machine.png/220px-Bendy_and_the_Ink_Machine.png,PS4\,Switch\,XboxOne,na,na,na
Berserk and the Band of the Hawk,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Berserk_and_the_Band_of_the_Hawk_cover_art.jpg/220px-Berserk_and_the_Band_of_the_Hawk_cover_art.jpg,PS4,na,na,na,na,na
Beyond Eyes,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/BeyondEyes.jpg/220px-BeyondEyes.jpg,PS4\,XboxOne,na,na,na,na
Beyond: Two Souls,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Beyond_Two_Souls_final_cover.jpg/220px-Beyond_Two_Souls_final_cover.jpg,PS4\,PS3,na,na,na,na
Big Bash Boom,unreleased,PS4,na,na,na,na,na
Binaries,unreleased,PS4\,Switch\,XboxOne,na,na,na
The Binding of Isaac: Rebirth,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Binding_of_Isaac_Rebirth_Header.png/220px-Binding_of_Isaac_Rebirth_Header.png,PS4\,WiiU\,XboxOne,na,na,na
Biomutant,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Biomutant_Promo_Image.png/220px-Biomutant_Promo_Image.png,PS4\,XboxOne,na,na,na,na
BioShock: The Collection,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/BioShock-_The_Collection.jpg/220px-BioShock-_The_Collection.jpg,PS4,na,na,na,na,na
Birthdays the Beginning,unreleased,PS4,na,na,na,na,na
Bit.Trip,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Bit.trip_logo.png/250px-Bit.trip_logo.png,PS4,na,na,na,na,na
Black & White Bushido,unreleased,PS4\,Switch\,XboxOne,na,na,na
Black the Fall,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Black_the_Fall.png/220px-Black_the_Fall.png,PS4\,Switch\,XboxOne,na,na,na
Black Desert Online,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Black_Desert_Online_Logo_%28En%29.png/220px-Black_Desert_Online_Logo_%28En%29.png,PS4\,XboxOne,na,na,na,na
Blackguards 2,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Blackguards_2_cover_art.jpg/220px-Blackguards_2_cover_art.jpg,PS4\,XboxOne,na,na,na,na
Blackhole: Complete Edition,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Blackhole_Cover.jpg/220px-Blackhole_Cover.jpg,PS4\,XboxOne,na,na,na,na
Blackwood Crossing,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Blackwood_Crossing_logo_B%2BW_cropped.png/220px-Blackwood_Crossing_logo_B%2BW_cropped.png,PS4\,XboxOne,na,na,na,na
Blade Arcus from Shining EX,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Blade_Arcus_from_Shining_cover.png/220px-Blade_Arcus_from_Shining_cover.png,PS4\,PS3,na,na,na,na
Blade Ballet,unreleased,PS4,na,na,na,na,na
Blade Strangers,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Blade_Strangers.png/220px-Blade_Strangers.png,PS4\,Switch,na,na,na,na
